occurrenceID,eventID,measurementType,measurementTypeID,measurementValue,measurementUnit,measurementUnitID
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q017_012,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q017,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,48,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q014_012,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q014,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,16,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL_Q011_013,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL_Q011,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,16,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q020_013,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q020,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,96,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP2_CAVEFLOOR_Q001_011,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP2_CAVEFLOOR_Q001,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,48,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP2_CAVEFLOOR_Q002_013,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP2_CAVEFLOOR_Q002,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,16,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP2_VERTICAL_Q001_013,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP2_VERTICAL_Q001,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,16,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP2_HORIZONTAL_Q001_012,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP2_HORIZONTAL_Q001,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,80,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP2_CAVEFLOOR_Q003_012,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP2_CAVEFLOOR_Q003,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,64,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP2_CAVEFLOOR_Q004_012,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP2_CAVEFLOOR_Q004,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,64,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
