"","Name","Date","region","site","reef.name","reef.area","understory","Height..cm.","Latitude","Longitude","Depth","Camera","Photographer","Water.quality","Strobes","Framing.gear.used","White.balance.card","Comments","Annotation.status","Annotation.area","CD","Taxa","value","abundance"
"64","IMG_5235 00091.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","horizontal","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",2,2
"65","IMG_5236 00092.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","horizontal","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",2,NA
"66","IMG_5236 00092.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","horizontal","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",2,2
"67","IMG_5237 00093.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","vertical","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",4,NA
"68","IMG_5237 00093.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","vertical","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",4,4
"69","IMG_5239 00095.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","cavefloor","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",1,NA
"70","IMG_5239 00095.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","cavefloor","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",1,1
"71","IMG_5241 00097.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","overhang","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",2,NA
"72","IMG_5241 00097.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","overhang","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",2,2
"73","IMG_5242 00098.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","vertical","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",2,NA
"74","IMG_5242 00098.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","vertical","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",2,2
"75","IMG_5243 00099.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","horizontal","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",2,NA
"76","IMG_5243 00099.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","horizontal","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",2,2
"77","IMG_5244 00100.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","horizontal","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",2,NA
"78","IMG_5244 00100.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","horizontal","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",2,2
"79","IMG_5245 00101.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","vertical","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",1,NA
"80","IMG_5245 00101.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","vertical","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",1,1
"81","IMG_5246 00102.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","overhang","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",2,NA
"82","IMG_5246 00102.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","overhang","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",2,2
"83","IMG_5247 00103.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","cavefloor","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",1,NA
"84","IMG_5247 00103.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","cavefloor","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",1,1
"85","IMG_5248 00104.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","cavefloor","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",4,NA
"86","IMG_5248 00104.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","cavefloor","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",4,4
"87","IMG_5249 00105.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","overhang","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",2,NA
"88","IMG_5249 00105.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","overhang","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",2,2
"89","IMG_5252 00107.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","horizontal","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",1,NA
"90","IMG_5252 00107.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","horizontal","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",1,1
"91","IMG_5256 00111.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","cavefloor","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",1,NA
